Name = NACA 0009
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.480	0.67125	0.006	0.988	0.002	0.992	0.003	-0.714	0.247	0.262
-19.0	-0.528	0.60679	0.006	0.986	0.002	0.991	0.004	-0.870	0.247	0.261
-18.0	-0.579	0.50625	0.005	0.985	0.002	0.991	0.004	-1.144	0.246	0.259
-17.0	-0.632	0.43879	0.005	0.983	0.003	0.991	0.004	-1.441	0.245	0.258
-16.0	-0.685	0.36845	0.005	0.981	0.003	0.991	0.004	-1.859	0.246	0.257
-15.0	-0.734	0.31583	0.005	0.980	0.003	0.991	0.005	-2.325	0.246	0.256
-14.0	-0.777	0.25497	0.005	0.979	0.004	0.990	0.005	-3.046	0.244	0.256
-13.0	-0.808	0.21973	0.004	0.977	0.004	0.990	0.005	-3.679	0.239	0.255
-12.0	-0.821	0.17634	0.004	0.974	0.005	0.989	0.006	-4.654	0.559	0.255
-11.0	-0.807	0.14878	0.004	0.969	0.004	0.986	0.006	-5.421	0.263	0.255
-10.0	-0.779	0.11976	0.003	0.964	0.005	0.985	0.007	-6.503	0.257	0.254
-9.0	-0.737	0.10175	0.003	0.960	0.005	0.983	0.007	-7.245	0.256	0.254
-8.0	-0.683	0.08485	0.003	0.953	0.005	0.982	0.008	-8.047	0.255	0.254
-7.0	-0.617	0.07176	0.003	0.944	0.007	0.980	0.009	-8.601	0.253	0.254
-6.0	-0.543	0.06129	0.002	0.934	0.009	0.978	0.014	-8.853	0.252	0.255
-5.0	-0.461	0.05401	0.002	0.917	0.017	0.978	0.026	-8.542	0.233	0.255
-4.0	-0.463	0.02532	0.004	0.898	0.039	0.976	0.987	-18.271	0.245	0.258
-3.0	-0.349	0.02434	0.003	0.872	0.344	0.974	0.984	-14.338	0.258	0.258
-2.0	-0.233	0.02367	0.002	0.834	0.493	0.974	0.983	-9.861	0.258	0.258
-1.0	-0.117	0.02666	0.001	0.781	0.615	0.976	0.981	-4.383	0.258	0.258
0.0	-0.000	0.02642	-0.000	0.709	0.709	0.978	0.978	-0.000	0.258	0.250
1.0	0.117	0.02666	-0.001	0.615	0.781	0.981	0.976	4.383	0.258	0.258
2.0	0.233	0.02367	-0.002	0.493	0.834	0.983	0.974	9.861	0.258	0.258
3.0	0.349	0.02434	-0.003	0.344	0.872	0.984	0.974	14.338	0.258	0.258
4.0	0.463	0.02532	-0.004	0.039	0.898	0.987	0.976	18.271	0.245	0.258
5.0	0.461	0.05401	-0.002	0.017	0.917	0.026	0.978	8.542	0.233	0.255
6.0	0.543	0.06129	-0.002	0.009	0.934	0.014	0.978	8.853	0.252	0.255
7.0	0.617	0.07176	-0.003	0.007	0.944	0.009	0.980	8.601	0.253	0.254
8.0	0.683	0.08485	-0.003	0.005	0.953	0.008	0.982	8.047	0.255	0.254
9.0	0.737	0.10175	-0.003	0.005	0.960	0.007	0.983	7.245	0.256	0.254
10.0	0.779	0.11976	-0.003	0.005	0.964	0.007	0.985	6.503	0.257	0.254
11.0	0.807	0.14878	-0.004	0.004	0.969	0.006	0.986	5.421	0.263	0.255
12.0	0.821	0.17634	-0.004	0.005	0.974	0.006	0.989	4.654	0.559	0.255
13.0	0.808	0.21973	-0.004	0.004	0.977	0.005	0.990	3.679	0.239	0.255
14.0	0.777	0.25497	-0.005	0.004	0.979	0.005	0.990	3.046	0.244	0.256
15.0	0.734	0.31583	-0.005	0.003	0.980	0.005	0.991	2.325	0.246	0.256
16.0	0.685	0.36845	-0.005	0.003	0.981	0.004	0.991	1.859	0.246	0.257
17.0	0.632	0.43879	-0.005	0.003	0.983	0.004	0.991	1.441	0.245	0.258
18.0	0.579	0.50625	-0.005	0.002	0.985	0.004	0.991	1.144	0.246	0.259
19.0	0.528	0.60679	-0.006	0.002	0.986	0.004	0.991	0.870	0.247	0.261
20.0	0.480	0.67125	-0.006	0.002	0.988	0.003	0.992	0.714	0.247	0.262

Name = NACA 0009
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.480	0.29859	0.007	0.978	0.001	0.996	0.010	-1.609	0.242	0.265
-19.0	-0.529	0.26674	0.007	0.977	0.002	0.995	0.010	-1.982	0.243	0.263
-18.0	-0.580	0.23707	0.006	0.971	0.002	0.996	0.010	-2.447	0.242	0.261
-17.0	-0.633	0.19772	0.006	0.966	0.002	0.996	0.008	-3.201	0.240	0.259
-16.0	-0.685	0.17452	0.005	0.961	0.003	0.996	0.007	-3.926	0.242	0.258
-15.0	-0.735	0.15094	0.005	0.957	0.003	0.996	0.007	-4.867	0.244	0.257
-14.0	-0.777	0.13251	0.005	0.945	0.004	0.997	0.007	-5.865	0.244	0.256
-13.0	-0.809	0.11467	0.005	0.936	0.004	0.997	0.008	-7.054	0.239	0.256
-12.0	-0.821	0.09720	0.004	0.919	0.004	1.000	0.009	-8.451	0.596	0.255
-11.0	-0.807	0.08571	0.004	0.902	0.004	1.000	0.009	-9.417	0.263	0.255
-10.0	-0.780	0.07312	0.004	0.876	0.005	1.000	0.011	-10.662	0.252	0.255
-9.0	-0.740	0.06329	0.004	0.841	0.005	1.000	0.020	-11.685	0.309	0.255
-8.0	-0.843	0.02070	0.008	0.798	0.005	1.000	0.948	-40.720	0.348	0.259
-7.0	-0.768	0.01491	0.007	0.741	0.007	1.000	0.990	-51.512	0.261	0.259
