Name = NACA 2415
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.046	0.35384	-0.009	0.944	0.007	0.971	0.012	-2.955	0.186	0.242
-19.0	-1.054	0.31508	-0.009	0.940	0.008	0.968	0.013	-3.345	0.127	0.241
-18.0	-1.055	0.27656	-0.010	0.936	0.009	0.966	0.014	-3.814	0.449	0.241
-17.0	-1.047	0.24750	-0.011	0.930	0.009	0.964	0.016	-4.231	0.307	0.240
-16.0	-1.030	0.21588	-0.011	0.921	0.011	0.962	0.017	-4.771	0.283	0.239
-15.0	-1.003	0.19536	-0.012	0.914	0.011	0.961	0.019	-5.135	0.273	0.238
-14.0	-0.966	0.16947	-0.013	0.907	0.014	0.958	0.020	-5.700	0.269	0.237
-13.0	-0.919	0.14951	-0.014	0.895	0.015	0.955	0.023	-6.149	0.267	0.235
-12.0	-0.863	0.13019	-0.015	0.883	0.017	0.951	0.025	-6.628	0.265	0.233
-11.0	-0.798	0.11414	-0.016	0.871	0.019	0.947	0.027	-6.989	0.266	0.230
-10.0	-0.725	0.09985	-0.017	0.852	0.021	0.944	0.032	-7.263	0.269	0.227
-9.0	-0.646	0.08755	-0.018	0.838	0.024	0.939	0.041	-7.381	0.271	0.221
-8.0	-0.561	0.07728	-0.020	0.813	0.030	0.938	0.055	-7.258	0.277	0.214
-7.0	-0.472	0.06792	-0.023	0.789	0.039	0.934	0.083	-6.957	0.302	0.201
-6.0	-0.390	0.05544	-0.029	0.760	0.051	0.931	0.222	-7.043	0.370	0.175
-5.0	-0.333	0.03581	-0.040	0.725	0.072	0.928	0.848	-9.306	0.326	0.131
-4.0	-0.220	0.03379	-0.042	0.685	0.121	0.926	0.936	-6.518	0.268	0.059
-3.0	-0.100	0.03267	-0.044	0.638	0.181	0.925	0.961	-3.073	0.265	-0.188
-2.0	0.021	0.03203	-0.046	0.585	0.252	0.925	0.972	0.664	0.264	2.402
-1.0	0.143	0.03168	-0.047	0.524	0.456	0.924	0.965	4.523	0.264	0.581
0.0	0.263	0.03208	-0.049	0.458	0.541	0.923	0.967	8.195	0.264	0.437
1.0	0.382	0.03280	-0.051	0.421	0.626	0.907	0.966	11.654	0.262	0.382
2.0	0.499	0.03392	-0.052	0.392	0.712	0.879	0.963	14.716	0.262	0.354
3.0	0.614	0.03558	-0.053	0.359	0.780	0.846	0.961	17.244	0.261	0.337
4.0	0.725	0.03774	-0.055	0.321	0.830	0.810	0.960	19.206	0.262	0.325
5.0	0.834	0.04049	-0.056	0.273	0.865	0.779	0.961	20.587	0.263	0.317
6.0	0.940	0.04386	-0.057	0.213	0.888	0.756	0.963	21.440	0.264	0.311
7.0	1.043	0.04811	-0.059	0.138	0.908	0.735	0.966	21.675	0.264	0.306
8.0	1.138	0.05310	-0.060	0.061	0.921	0.704	0.969	21.425	0.254	0.303
9.0	1.201	0.06192	-0.059	0.037	0.934	0.579	0.973	19.399	-0.217	0.299
10.0	1.167	0.09235	-0.046	0.029	0.941	0.144	0.976	12.638	-1.524	0.290
11.0	1.213	0.10927	-0.039	0.020	0.949	0.053	0.978	11.100	0.154	0.282
12.0	1.266	0.12501	-0.037	0.017	0.957	0.035	0.979	10.126	0.217	0.279
13.0	1.311	0.14289	-0.036	0.014	0.960	0.027	0.981	9.176	0.229	0.277
14.0	1.346	0.16328	-0.035	0.013	0.964	0.021	0.983	8.246	0.241	0.276
15.0	1.371	0.18429	-0.035	0.012	0.968	0.019	0.984	7.439	0.254	0.276
16.0	1.384	0.21046	-0.035	0.010	0.972	0.017	0.987	6.576	0.270	0.275
17.0	1.386	0.23948	-0.035	0.009	0.976	0.016	0.988	5.788	0.177	0.276
18.0	1.378	0.26741	-0.036	0.008	0.978	0.015	0.989	5.152	0.237	0.276
19.0	1.360	0.30303	-0.036	0.007	0.979	0.014	0.991	4.486	0.251	0.276
20.0	1.333	0.33534	-0.036	0.006	0.981	0.012	0.992	3.975	0.257	0.277

Name = NACA 2415
Mach = 0; Re = 430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.059	0.19957	-0.012	0.895	0.007	0.991	0.064	-5.307	0.166	0.238
-19.0	-1.069	0.17923	-0.013	0.883	0.007	0.991	0.071	-5.965	0.110	0.238
-18.0	-1.073	0.15892	-0.014	0.871	0.008	0.992	0.084	-6.752	2.298	0.237
-17.0	-1.068	0.14056	-0.015	0.851	0.008	0.992	0.096	-7.597	0.394	0.236
-16.0	-1.056	0.12307	-0.017	0.835	0.009	0.992	0.117	-8.577	0.341	0.234
-15.0	-1.035	0.10648	-0.018	0.809	0.010	0.992	0.146	-9.719	0.324	0.232
-14.0	-1.008	0.08912	-0.020	0.784	0.011	0.992	0.193	-11.305	0.327	0.230
-13.0	-0.977	0.07050	-0.023	0.756	0.014	0.992	0.275	-13.858	0.351	0.227
-12.0	-0.950	0.05017	-0.026	0.722	0.016	0.992	0.431	-18.938	0.374	0.222
-11.0	-0.922	0.03312	-0.030	0.686	0.017	0.992	0.652	-27.821	0.327	0.218
-10.0	-0.867	0.02521	-0.033	0.650	0.019	0.992	0.823	-34.404	0.286	0.212
-9.0	-0.786	0.02177	-0.035	0.609	0.022	0.992	0.913	-36.081	0.272	0.206
-8.0	-0.685	0.01970	-0.037	0.563	0.026	0.992	0.952	-34.768	0.267	0.197
-7.0	-0.575	0.01821	-0.038	0.516	0.033	0.992	0.970	-31.581	0.265	0.184
-6.0	-0.460	0.01711	-0.040	0.464	0.041	0.991	0.979	-26.920	0.264	0.163
-5.0	-0.343	0.01254	-0.042	0.426	0.054	0.991	0.984	-27.333	0.264	0.129
-4.0	-0.223	0.01211	-0.043	0.402	0.071	0.991	0.989	-18.382	0.264	0.056
-3.0	-0.101	0.01277	-0.045	0.374	0.096	0.990	0.991	-7.910	0.264	-0.194
-2.0	0.021	0.01257	-0.047	0.352	0.129	0.990	0.992	1.699	0.264	2.432
-1.0	0.144	0.01142	-0.048	0.321	0.165	0.990	0.992	12.618	0.264	0.585
0.0	0.266	0.01139	-0.050	0.292	0.206	0.988	0.993	23.389	0.264	0.438
1.0	0.388	0.01154	-0.052	0.257	0.250	0.985	0.994	33.654	0.264	0.383
2.0	0.510	0.01175	-0.054	0.221	0.300	0.982	0.994	43.406	0.264	0.355
3.0	0.630	0.01635	-0.055	0.184	0.378	0.979	0.995	38.559	0.265	0.338
4.0	0.749	0.01741	-0.057	0.147	0.467	0.973	0.996	43.038	0.265	0.326
5.0	0.866	0.01889	-0.059	0.109	0.513	0.965	0.997	45.847	0.265	0.318
6.0	0.980	0.02112	-0.060	0.077	0.565	0.955	0.997	46.383	0.265	0.312
7.0	1.088	0.02308	-0.062	0.052	0.626	0.940	0.997	47.124	0.265	0.307
8.0	1.190	0.02530	-0.064	0.036	0.694	0.920	0.997	47.031	0.265	0.303
9.0	1.284	0.02772	-0.065	0.028	0.758	0.896	0.997	46.328	0.265	0.301
10.0	1.369	0.03090	-0.066	0.021	0.809	0.863	0.997	44.325	0.265	0.298
11.0	1.443	0.03473	-0.067	0.017	0.848	0.822	0.997	41.540	0.266	0.297
12.0	1.496	0.03962	-0.068	0.014	0.877	0.770	0.998	37.771	0.265	0.296
13.0	1.533	0.04623	-0.069	0.012	0.901	0.707	0.997	33.148	0.264	0.295
14.0	1.552	0.05465	-0.069	0.012	0.915	0.637	0.998	28.408	0.248	0.294
15.0	1.554	0.06645	-0.069	0.010	0.930	0.555	0.997	23.382	0.331	0.294
16.0	1.538	0.08249	-0.068	0.009	0.939	0.464	0.998	18.646	0.301	0.294
17.0	1.511	0.10265	-0.067	0.007	0.948	0.377	0.997	14.716	0.302	0.294
18.0	1.471	0.12767	-0.064	0.006	0.957	0.287	0.998	11.520	0.308	0.294
19.0	1.425	0.15569	-0.062	0.006	0.961	0.207	0.998	9.153	0.306	0.293
20.0	1.380	0.18278	-0.059	0.005	0.966	0.155	0.998	7.553	0.301	0.293

Name = NACA 2415
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-1.067	0.17951	-0.013	0.851	0.006	0.993	0.094	-5.943	0.165	0.237
-19.0	-1.078	0.16091	-0.014	0.836	0.006	0.993	0.106	-6.702	0.122	0.237
-18.0	-1.084	0.14181	-0.016	0.809	0.007	0.993	0.125	-7.643	-0.665	0.236
-17.0	-1.081	0.12456	-0.017	0.785	0.007	0.993	0.146	-8.679	0.480	0.234
-16.0	-1.072	0.10678	-0.018	0.757	0.008	0.993	0.180	-10.037	0.373	0.233
-15.0	-1.054	0.09020	-0.020	0.723	0.008	0.993	0.224	-11.689	0.349	0.231
-14.0	-1.032	0.07245	-0.022	0.689	0.009	0.993	0.296	-14.250	0.373	0.228
-13.0	-1.013	0.05223	-0.025	0.656	0.011	0.993	0.434	-19.403	0.407	0.225
-12.0	-0.993	0.03435	-0.028	0.615	0.014	0.993	0.633	-28.925	0.344	0.221
-11.0	-0.951	0.02539	-0.031	0.573	0.015	0.993	0.798	-37.440	0.292	0.217
-10.0	-0.880	0.02156	-0.033	0.531	0.016	0.993	0.894	-40.826	0.275	0.212
-9.0	-0.790	0.01937	-0.035	0.486	0.018	0.993	0.942	-40.789	0.268	0.206
-8.0	-0.687	0.01778	-0.037	0.440	0.021	0.993	0.965	-38.635	0.265	0.197
-7.0	-0.576	0.01648	-0.038	0.412	0.027	0.992	0.978	-34.953	0.264	0.184
-6.0	-0.461	0.01173	-0.040	0.392	0.033	0.992	0.983	-39.295	0.264	0.163
-5.0	-0.343	0.01132	-0.042	0.363	0.042	0.992	0.988	-30.291	0.264	0.129
-4.0	-0.223	0.01198	-0.043	0.346	0.055	0.991	0.990	-18.584	0.264	0.056
-3.0	-0.101	0.01173	-0.045	0.312	0.072	0.991	0.992	-8.608	0.264	-0.195
-2.0	0.021	0.01155	-0.047	0.286	0.096	0.991	0.992	1.849	0.264	2.432
-1.0	0.144	0.01150	-0.048	0.255	0.124	0.991	0.993	12.536	0.264	0.585
0.0	0.267	0.01164	-0.050	0.223	0.155	0.990	0.994	22.887	0.264	0.438
1.0	0.389	0.01078	-0.052	0.194	0.189	0.988	0.994	36.061	0.264	0.383
2.0	0.510	0.01099	-0.054	0.163	0.225	0.985	0.995	46.414	0.265	0.355
3.0	0.631	0.01140	-0.055	0.129	0.265	0.982	0.996	55.312	0.265	0.338
4.0	0.750	0.01637	-0.057	0.098	0.310	0.978	0.997	45.829	0.265	0.326
5.0	0.867	0.01811	-0.059	0.071	0.377	0.971	0.998	47.870	0.265	0.318
6.0	0.981	0.01944	-0.061	0.051	0.457	0.963	0.997	50.483	0.265	0.312
7.0	1.090	0.02111	-0.062	0.035	0.496	0.951	0.997	51.648	0.265	0.307
8.0	1.194	0.02287	-0.064	0.027	0.538	0.936	0.998	52.188	0.266	0.303
9.0	1.290	0.02497	-0.065	0.021	0.590	0.916	0.998	51.645	0.266	0.301
10.0	1.377	0.02753	-0.067	0.017	0.651	0.889	0.998	50.016	0.266	0.298
11.0	1.453	0.03058	-0.068	0.014	0.712	0.855	0.998	47.505	0.268	0.297
12.0	1.510	0.03439	-0.069	0.012	0.770	0.814	0.998	43.911	0.269	0.296
13.0	1.550	0.03946	-0.070	0.010	0.819	0.761	0.998	39.281	0.271	0.295
14.0	1.574	0.04597	-0.070	0.010	0.855	0.702	0.998	34.245	0.273	0.295
